order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_price
1,1,97,1,6899.98,801.36,6098.62
2,1,818,2,2517.2,82.99,4951.41
3,2,106,5,46627.58,1259.54,231878.36
4,2,589,1,60461.14,6234.1,54227.04
5,2,717,2,79658.52,3209.69,156107.35
6,3,227,2,15855.11,3184.5,28525.72
7,3,353,2,44608.27,7916.09,81300.45
8,3,890,1,38320.04,3073.86,35246.18
9,4,535,1,41797.84,1545.57,40252.27
10,4,57,1,54715.65,7334.49,47381.16
11,4,178,1,11810.77,843.9,10966.87
12,5,853,4,36149.24,20046.69,124550.27
13,5,273,1,58733.95,2316.06,56417.89
14,5,523,1,19573.08,48.86,19524.22
15,5,462,1,42608.45,4610.8,37997.65
16,6,155,1,75355.28,5064.0,70291.28
17,6,367,1,58161.69,1669.51,56492.18
18,6,972,1,30308.67,381.64,29927.03
19,7,263,1,73307.77,1364.54,71943.23
20,7,203,3,20625.03,568.37,61306.72
21,7,815,1,36440.07,895.92,35544.15
22,7,936,1,23282.26,3104.26,20178.0
23,7,950,1,4878.32,550.42,4327.9
24,8,503,1,59379.17,2641.08,56738.09
25,8,970,1,22703.56,2912.43,19791.13
26,8,294,2,41899.87,12198.82,71600.92
27,8,464,1,66431.66,495.67,65935.99
28,9,956,1,39326.14,2172.2,37153.94
29,9,594,1,26248.52,3221.05,23027.47
30,10,950,1,4878.32,475.16,4403.16
31,10,68,1,60685.6,1496.76,59188.84
32,10,207,2,83983.48,1.33,167965.63
33,10,998,2,15593.9,1416.9,29770.9
34,10,281,3,4708.56,651.68,13474.0
35,11,979,1,43889.02,3954.13,39934.89
36,11,836,1,41004.0,2213.29,38790.71
37,12,649,2,52465.73,14355.66,90575.8
38,12,657,1,35285.91,2118.2,33167.71
39,13,124,2,32253.1,5379.58,59126.62
40,13,507,1,60624.2,802.55,59821.65
41,14,741,2,2272.92,553.37,3992.47
42,14,950,1,4878.32,201.63,4676.69
43,14,652,1,44850.32,3867.2,40983.12
44,15,927,3,3086.03,888.54,8369.55
45,15,623,2,71271.12,901.69,141640.55
46,15,106,2,46627.58,5228.01,88027.15
47,16,937,1,75287.48,2729.09,72558.39
48,16,427,1,43138.66,208.75,42929.91
49,16,887,2,31901.21,791.32,63011.1
50,16,581,1,43359.64,6070.69,37288.95
51,16,403,1,13616.52,1689.12,11927.4
52,17,604,4,36921.48,20642.63,127043.29
53,17,250,2,38589.27,1605.73,75572.81
54,18,848,2,49254.59,14064.9,84444.28
55,19,274,5,45493.53,17568.73,209898.92
56,19,901,1,49064.78,1942.79,47121.99
57,19,483,5,81445.06,9355.53,397869.77
58,19,897,3,53721.31,14864.41,146299.52
59,19,90,2,36606.09,9626.12,63586.06
60,20,824,2,26487.37,6136.81,46837.93
61,20,739,3,49616.69,13171.06,135679.01
62,20,578,4,39704.69,22757.1,136061.66
63,21,263,2,73307.77,16802.69,129812.85
64,22,63,4,19746.23,9533.73,69451.19
65,23,3,1,43470.0,196.55,43273.45
66,23,302,1,12582.3,1835.37,10746.93
67,24,812,1,27440.22,1784.9,25655.32
68,24,604,1,36921.48,721.03,36200.45
69,24,176,1,4905.76,332.82,4572.94
70,24,721,2,56611.31,13201.55,100021.07
71,24,217,2,33435.22,10006.97,56863.47
72,25,929,1,38049.95,5314.75,32735.2
73,25,155,1,75355.28,4153.39,71201.89
74,25,296,1,34627.87,2747.39,31880.48
75,26,179,4,61354.94,4344.33,241075.43
76,26,869,1,27599.74,1616.81,25982.93
77,26,901,2,49064.78,8740.67,89388.89
78,26,342,1,15005.18,795.41,14209.77
79,27,2,3,76394.93,3118.1,226066.69
80,27,518,3,6573.06,1170.46,18548.72
81,28,410,1,18525.02,204.17,18320.85
82,28,618,1,19081.94,1377.11,17704.83
83,28,61,1,55328.05,7116.36,48211.69
84,29,966,2,45203.42,8282.34,82124.5
85,29,250,2,38589.27,4471.19,72707.35
86,29,798,2,52611.13,6296.71,98925.55
87,29,383,1,37571.74,5581.58,31990.16
88,30,250,2,38589.27,2791.08,74387.46
89,30,618,2,19081.94,5508.11,32655.77
90,31,193,2,87985.05,274.65,175695.45
91,31,403,3,13616.52,6116.62,34732.94
92,31,382,4,63751.27,31479.13,223525.95
93,32,442,1,63464.4,423.32,63041.08
94,32,60,1,71063.14,2560.86,68502.28
95,32,549,1,51380.02,3666.18,47713.84
96,32,9,1,61804.18,2991.06,58813.12
97,32,10,3,2841.22,668.94,7854.72
98,33,9,1,61804.18,3439.35,58364.83
99,33,505,3,19424.05,5378.34,52893.81
100,33,695,1,36339.69,3468.21,32871.48
101,33,350,1,35700.73,4322.78,31377.95
102,33,227,1,15855.11,546.72,15308.39
103,34,439,2,45327.89,1719.29,88936.49
104,34,848,2,49254.59,12800.3,85708.88
105,35,726,2,49127.83,13412.15,84843.51
106,35,695,1,36339.69,4582.78,31756.91
107,35,904,1,59389.18,4072.66,55316.52
108,35,410,3,18525.02,459.04,55116.02
109,36,766,1,48070.39,5805.41,42264.98
110,36,641,3,12415.84,2116.02,35131.5
111,36,989,2,20210.29,3202.93,37217.65
112,36,216,2,2917.11,815.0,5019.22
113,36,184,1,30008.52,576.77,29431.75
114,37,68,1,60685.6,1434.92,59250.68
115,37,144,2,40469.54,2581.24,78357.84
116,38,763,1,54370.13,3956.74,50413.39
117,38,680,1,66428.17,311.05,66117.12
118,39,463,2,16046.16,3301.19,28791.13
119,39,881,4,55162.54,27524.46,193125.7
120,39,649,2,52465.73,5814.37,99117.09
121,39,271,1,28391.33,3576.97,24814.36
122,40,71,2,14353.02,3479.72,25226.32
123,40,208,1,53391.84,6738.71,46653.13
124,40,516,3,36383.46,703.58,108446.8
125,40,464,1,66431.66,1761.51,64670.15
126,41,120,2,21190.89,206.82,42174.96
127,42,119,1,62460.8,3452.68,59008.12
128,42,662,3,43228.98,488.66,129198.28
129,42,550,2,8198.61,695.75,15701.47
130,42,930,2,39320.83,7640.93,71000.73
131,42,248,3,1372.21,521.09,3595.54
132,43,351,2,42200.96,3856.98,80544.94
133,43,219,3,53676.7,19698.44,141331.66
134,44,932,1,53678.69,256.3,53422.39
135,44,236,1,16682.99,472.64,16210.35
136,44,147,1,18186.11,1701.28,16484.83
137,45,657,4,35285.91,6403.6,134740.04
138,45,283,1,68428.94,6860.47,61568.47
139,45,846,1,21886.79,2135.61,19751.18
140,45,3,2,43470.0,10856.09,76083.91
141,46,724,1,32467.48,2586.64,29880.84
142,47,528,1,48686.63,6334.53,42352.1
143,48,830,2,2181.3,523.19,3839.41
144,48,928,1,87525.69,12166.0,75359.69
145,48,717,4,79658.52,6591.34,312042.74
146,48,491,1,51840.67,1093.11,50747.56
147,49,64,1,12866.2,1292.11,11574.09
148,49,604,1,36921.48,303.8,36617.68
149,49,623,1,71271.12,6684.45,64586.67
150,49,270,1,6830.43,367.96,6462.47
151,49,349,1,65581.32,8874.88,56706.44
152,50,99,3,32394.39,5614.88,91568.29
153,50,950,2,4878.32,1451.22,8305.42
154,50,183,3,7632.23,2713.45,20183.24
155,50,409,1,61954.7,4808.11,57146.59
156,50,1000,1,35293.76,1800.68,33493.08
157,51,934,2,13975.94,2683.17,25268.71
158,51,798,1,52611.13,5926.28,46684.85
159,52,74,1,25500.32,2799.68,22700.64
160,52,316,1,62772.3,5290.27,57482.03
161,52,133,2,12468.39,669.27,24267.51
162,52,383,1,37571.74,3723.22,33848.52
163,52,394,2,42580.81,1324.63,83836.99
164,53,893,5,24158.85,9456.48,111337.77
165,54,978,1,70358.3,3403.31,66954.99
166,54,471,1,70785.9,7488.14,63297.76
167,54,314,3,18663.84,271.43,55720.09
168,54,776,2,26241.11,4110.36,48371.86
169,54,599,1,44761.52,4404.31,40357.21
170,55,636,3,27784.14,4425.58,78926.84
171,56,483,1,81445.06,4893.44,76551.62
172,56,634,1,39143.06,228.19,38914.87
173,56,280,3,18409.59,2034.43,53194.34
174,56,374,1,49935.18,2895.92,47039.26
175,57,671,1,65136.28,621.48,64514.8
176,57,57,4,54715.65,22911.07,195951.53
177,57,663,1,57881.87,5901.81,51980.06
178,58,650,1,42833.78,4385.71,38448.07
179,58,316,1,62772.3,6991.34,55780.96
180,59,41,1,47175.64,4192.93,42982.71
181,60,97,2,6899.98,835.77,12964.19
182,60,89,2,61030.45,2871.66,119189.24
183,60,166,2,33798.55,1346.5,66250.6
184,60,991,1,16315.12,2132.01,14183.11
185,61,591,2,23915.96,1152.11,46679.81
186,61,152,1,86230.84,5211.96,81018.88
187,61,113,1,61014.62,194.67,60819.95
188,62,274,1,45493.53,1282.4,44211.13
189,63,422,1,36577.78,4388.61,32189.17
190,63,811,2,29935.48,2889.99,56980.97
191,63,818,1,2517.2,238.49,2278.71
192,63,31,2,5278.2,1506.98,9049.42
193,63,49,1,52319.21,1114.19,51205.02
194,64,560,1,84295.23,2089.48,82205.75
195,64,871,2,12164.93,642.03,23687.83
196,64,297,1,9484.23,42.25,9441.98
197,64,138,1,30140.42,711.21,29429.21
198,64,74,3,25500.32,1658.15,74842.81
199,65,537,4,53194.66,13453.25,199325.39
200,65,993,2,55124.43,13196.2,97052.66
201,65,695,3,36339.69,2206.12,106812.95
202,66,507,1,60624.2,5822.84,54801.36
203,66,728,1,72056.51,7100.96,64955.55
204,66,951,1,71761.83,1769.76,69992.07
205,66,694,2,75656.77,14755.62,136557.92
206,67,354,1,24299.68,35.86,24263.82
207,67,518,1,6573.06,773.53,5799.53
208,67,581,2,43359.64,8808.55,77910.73
209,67,661,1,6801.17,598.96,6202.21
210,68,48,1,24215.99,1777.72,22438.27
211,68,998,2,15593.9,264.61,30923.19
212,68,273,2,58733.95,15025.09,102442.81
213,69,992,1,26378.31,1242.11,25136.2
214,70,255,1,58340.7,4701.48,53639.22
215,70,194,2,15421.35,4101.05,26741.65
216,70,577,3,28640.16,6161.34,79759.14
217,70,25,2,30269.48,443.24,60095.72
218,71,106,1,46627.58,2153.14,44474.44
219,71,119,1,62460.8,8723.4,53737.4
220,71,131,1,72766.86,2717.01,70049.85
221,71,513,1,282.11,33.67,248.44
222,72,581,2,43359.64,10086.91,76632.37
223,72,466,3,39504.07,1300.98,117211.23
224,72,695,1,36339.69,2569.04,33770.65
225,72,216,3,2917.11,638.04,8113.29
